Date,Species,GroupSize,TransectID,Year
2017-12-07,Grant's gazelle,4,Balanite plains,2017
2018-01-11,Grant's gazelle,3,Balanite plains,2018
2018-01-11,Grant's gazelle,4,Balanite plains,2018
2018-01-11,Grant's gazelle,3,Balanite plains,2018
2018-01-11,Grant's gazelle,1,Balanite plains,2018
2018-01-11,Grant's gazelle,5,Balanite plains,2018
2018-02-01,Grant's gazelle,4,Balanite plains,2018
2018-02-01,Grant's gazelle,1,Balanite plains,2018
2018-02-01,Grant's gazelle,4,Balanite plains,2018
2018-03-01,Grant's gazelle,4,Balanite plains,2018
2018-03-01,Grant's gazelle,2,Balanite plains,2018
2018-04-05,Grant's gazelle,1,Balanite plains,2018
2018-04-05,Grant's gazelle,5,Balanite plains,2018
2018-08-02,Grant's gazelle,1,Balanite plains,2018
2018-08-02,Grant's gazelle,2,Balanite plains,2018
2018-09-06,Grant's gazelle,3,Balanite plains,2018
2018-10-04,Grant's gazelle,7,Balanite plains,2018
2018-10-04,Grant's gazelle,3,Balanite plains,2018
2018-10-04,Grant's gazelle,5,Balanite plains,2018
2018-11-01,Grant's gazelle,1,Balanite plains,2018
2018-11-01,Grant's gazelle,3,Balanite plains,2018
2018-11-01,Grant's gazelle,18,Balanite plains,2018
2018-12-06,Grant's gazelle,1,Balanite plains,2018
2018-12-06,Grant's gazelle,9,Balanite plains,2018
2018-12-06,Grant's gazelle,3,Balanite plains,2018
2018-12-06,Grant's gazelle,5,Balanite plains,2018
2018-12-06,Grant's gazelle,4,Balanite plains,2018
2017-11-07,Grant's gazelle,5,Ilkisieusieu bushlands,2017
2018-02-06,Grant's gazelle,1,Ilkisieusieu bushlands,2018
2018-04-03,Grant's gazelle,2,Ilkisieusieu bushlands,2018
2018-05-08,Grant's gazelle,3,Ilkisieusieu bushlands,2018
2018-06-05,Grant's gazelle,2,Ilkisieusieu bushlands,2018
2018-07-03,Grant's gazelle,7,Ilkisieusieu bushlands,2018
2018-08-02,Grant's gazelle,6,Ilkisieusieu bushlands,2018
2018-09-04,Grant's gazelle,2,Ilkisieusieu bushlands,2018
2018-09-04,Grant's gazelle,1,Ilkisieusieu bushlands,2018
2018-12-04,Grant's gazelle,3,Ilkisieusieu bushlands,2018
2017-10-17,Grant's gazelle,2,Rekero bushlands,2017
2017-10-17,Grant's gazelle,2,Rekero bushlands,2017
2017-10-17,Grant's gazelle,9,Rekero bushlands,2017
2017-10-17,Grant's gazelle,1,Rekero bushlands,2017
2017-10-17,Grant's gazelle,2,Rekero bushlands,2017
2017-10-24,Grant's gazelle,2,Rekero bushlands,2017
2017-10-24,Grant's gazelle,1,Rekero bushlands,2017
2017-11-07,Grant's gazelle,1,Rekero bushlands,2017
2017-11-07,Grant's gazelle,4,Rekero bushlands,2017
2017-11-01,Grant's gazelle,2,Rekero bushlands,2017
2017-11-01,Grant's gazelle,1,Rekero bushlands,2017
2018-01-09,Grant's gazelle,1,Rekero bushlands,2018
2018-01-09,Grant's gazelle,1,Rekero bushlands,2018
2018-01-16,Grant's gazelle,1,Rekero bushlands,2018
2018-01-01,Grant's gazelle,2,Rekero bushlands,2018
2018-02-13,Grant's gazelle,1,Rekero bushlands,2018
2018-03-06,Grant's gazelle,2,Rekero bushlands,2018
2018-08-02,Grant's gazelle,3,Rekero bushlands,2018
2018-08-02,Grant's gazelle,3,Rekero bushlands,2018
2018-08-02,Grant's gazelle,2,Rekero bushlands,2018
2018-08-02,Grant's gazelle,1,Rekero bushlands,2018
2018-10-02,Grant's gazelle,5,Rekero bushlands,2018
2018-11-06,Grant's gazelle,6,Rekero bushlands,2018
2018-11-06,Grant's gazelle,2,Rekero bushlands,2018
2018-11-06,Grant's gazelle,2,Rekero bushlands,2018
2018-11-06,Grant's gazelle,10,Rekero bushlands,2018
2018-12-04,Grant's gazelle,2,Rekero bushlands,2018
2018-12-04,Grant's gazelle,1,Rekero bushlands,2018
2018-12-04,Grant's gazelle,2,Rekero bushlands,2018
2018-12-04,Grant's gazelle,1,Rekero bushlands,2018
